"weather station","year","month","total snow depth","average snow depth","max snow depth"
"St_paul",1982,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1982,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1982,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1982,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1982,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1982,10,"29.0000000000000000","1.61000000000000000000","18.0000000000000000"
"St_paul",1982,11,"36.0000000000000000","1.93000000000000000000","20.0000000000000000"
"St_paul",1982,12,"91.0000000000000000","36.9000000000000000","56.0000000000000000"
"St_paul",1983,1,"7.0000000000000000","39.0600000000000000","44.0000000000000000"
"St_paul",1983,2,"33.0000000000000000","39.3600000000000000","48.0000000000000000"
"St_paul",1983,3,"64.0000000000000000","22.8400000000000000","46.0000000000000000"
"St_paul",1983,4,"86.0000000000000000","5.8700000000000000","27.0000000000000000"
"St_paul",1983,5,"8.0000000000000000","0.32000000000000000000","7.0000000000000000"
"St_paul",1983,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1983,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1983,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1983,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1983,10,"4.0000000000000000","0.13000000000000000000","4.0000000000000000"
"St_paul",1983,11,"5.0000000000000000","0.40000000000000000000","5.0000000000000000"
"St_paul",1983,12,"101.0000000000000000","23.0000000000000000","62.0000000000000000"
"St_paul",1984,2,"75.0000000000000000","77.3800000000000000","98.0000000000000000"
"St_paul",1984,3,"123.0000000000000000","77.4800000000000000","120.0000000000000000"
"St_paul",1984,4,"26.0000000000000000","68.8300000000000000","116.0000000000000000"
"St_paul",1984,5,"48.0000000000000000","1.74000000000000000000","17.0000000000000000"
"St_paul",1984,6,"22.0000000000000000","1.20000000000000000000","18.0000000000000000"
"St_paul",1984,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1984,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1984,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1984,10,"33.0000000000000000","1.74000000000000000000","14.0000000000000000"
"St_paul",1984,11,"44.0000000000000000","4.9700000000000000","25.0000000000000000"
"St_paul",1984,12,"44.0000000000000000","14.7400000000000000","30.0000000000000000"
"St_paul",1992,10,"43.0000000000000000","5.1600000000000000","24.0000000000000000"
"St_paul",1993,1,"1.00000000000000000000","0.03000000000000000000","1.00000000000000000000"
"St_paul",1993,3,"53.0000000000000000","11.1600000000000000","48.0000000000000000"
"St_paul",1993,10,"44.0000000000000000","2.5200000000000000","23.0000000000000000"
"St_paul",1993,11,"11.0000000000000000","0.30000000000000000000","3.0000000000000000"
"St_paul",1993,12,"131.0000000000000000","28.1000000000000000","65.0000000000000000"
"St_paul",1994,1,"128.0000000000000000","85.1300000000000000","107.0000000000000000"
"St_paul",1994,2,"88.0000000000000000","87.0400000000000000","120.0000000000000000"
"St_paul",1994,3,"0.00000000000000000000","45.5500000000000000","112.0000000000000000"
"St_paul",1994,4,"55.0000000000000000","1.90000000000000000000","14.0000000000000000"
"St_paul",1994,5,"1.00000000000000000000","0.03000000000000000000","1.00000000000000000000"
"St_paul",1994,6,"2.0000000000000000","0.07000000000000000000","2.0000000000000000"
"St_paul",1994,10,"7.0000000000000000","0.39000000000000000000","6.0000000000000000"
"St_paul",1994,11,"11.0000000000000000","0.93000000000000000000","9.0000000000000000"
"St_paul",1994,12,"2.0000000000000000","0.06000000000000000000","1.00000000000000000000"
"St_paul",1995,1,"128.0000000000000000","40.3900000000000000","75.0000000000000000"
"St_paul",1995,2,"161.0000000000000000","78.1800000000000000","112.0000000000000000"
"St_paul",1995,3,"58.0000000000000000","90.9000000000000000","130.0000000000000000"
"St_paul",1995,4,"37.0000000000000000","22.3300000000000000","70.0000000000000000"
"St_paul",1995,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1995,12,"102.0000000000000000","15.2600000000000000","51.0000000000000000"
"St_paul",1996,1,"70.0000000000000000","62.1300000000000000","77.0000000000000000"
"St_paul",1996,2,"57.0000000000000000","76.2800000000000000","92.0000000000000000"
"St_paul",1996,4,"22.0000000000000000","12.6700000000000000","51.0000000000000000"
"St_paul",1996,5,"14.0000000000000000","0.61000000000000000000","11.0000000000000000"
"St_paul",1996,6,"8.0000000000000000","0.27000000000000000000","8.0000000000000000"
"St_paul",1996,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1996,10,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1996,11,"82.0000000000000000","25.8900000000000000","72.0000000000000000"
"St_paul",1996,12,"132.0000000000000000","77.3500000000000000","93.0000000000000000"
"St_paul",1997,2,"25.0000000000000000","107.7500000000000000","122.0000000000000000"
"St_paul",1997,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1997,6,"5.0000000000000000","0.50000000000000000000","10.0000000000000000"
"St_paul",1997,10,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1998,2,"60.0000000000000000","76.8900000000000000","98.0000000000000000"
"St_paul",1998,3,"12.0000000000000000","47.8700000000000000","72.0000000000000000"
"St_paul",1998,4,"132.0000000000000000","17.3300000000000000","60.0000000000000000"
"St_paul",1998,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1998,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1998,10,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1998,12,"13.0000000000000000","0.06000000000000000000","1.00000000000000000000"
"St_paul",1999,3,"62.0000000000000000","19.6100000000000000","49.0000000000000000"
"St_paul",1999,4,"65.0000000000000000","4.0000000000000000","30.0000000000000000"
"St_paul",1999,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",1999,10,"19.0000000000000000","1.16000000000000000000","17.0000000000000000"
"St_paul",1999,12,"102.0000000000000000","38.8700000000000000","92.0000000000000000"
"St_paul",2000,1,"3.0000000000000000","68.4500000000000000","75.0000000000000000"
"St_paul",2000,2,"64.0000000000000000","53.0300000000000000","62.0000000000000000"
"St_paul",2000,3,"70.0000000000000000","28.3200000000000000","96.0000000000000000"
"St_paul",2000,4,"67.0000000000000000","2.3300000000000000","19.0000000000000000"
"St_paul",2000,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2000,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2000,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2000,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2000,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2000,10,"3.0000000000000000","0.10000000000000000000","2.0000000000000000"
"St_paul",2000,12,"56.0000000000000000","62.8700000000000000","94.0000000000000000"
"St_paul",2001,1,"65.0000000000000000","80.5500000000000000","92.0000000000000000"
"St_paul",2001,2,"21.0000000000000000","78.3600000000000000","89.0000000000000000"
"St_paul",2001,3,"123.0000000000000000","80.6100000000000000","116.0000000000000000"
"St_paul",2001,4,"12.0000000000000000","7.7700000000000000","46.0000000000000000"
"St_paul",2001,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2001,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2001,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2001,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2001,9,"4.0000000000000000","0.13000000000000000000","2.0000000000000000"
"St_paul",2001,10,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2001,11,"10.0000000000000000","0.33000000000000000000","7.0000000000000000"
"St_paul",2001,12,"2.0000000000000000","0.16000000000000000000","2.0000000000000000"
"St_paul",2002,1,"20.0000000000000000","3.1300000000000000","20.0000000000000000"
"St_paul",2002,2,"47.0000000000000000","11.0700000000000000","28.0000000000000000"
"St_paul",2002,3,"58.0000000000000000","11.6500000000000000","47.0000000000000000"
"St_paul",2002,4,"9.0000000000000000","0.30000000000000000000","3.0000000000000000"
"St_paul",2002,5,"10.0000000000000000","0.23000000000000000000","4.0000000000000000"
"St_paul",2002,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2002,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2002,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2002,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2002,10,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2002,12,"82.0000000000000000","47.2300000000000000","65.0000000000000000"
"St_paul",2003,1,"69.0000000000000000","68.0300000000000000","88.0000000000000000"
"St_paul",2003,2,"37.0000000000000000","84.5400000000000000","105.0000000000000000"
"St_paul",2003,3,"30.0000000000000000","52.3900000000000000","80.0000000000000000"
"St_paul",2003,4,"77.0000000000000000","4.4000000000000000","40.0000000000000000"
"St_paul",2003,5,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2003,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2003,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2003,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2003,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2003,12,"58.0000000000000000","47.1600000000000000","64.0000000000000000"
"St_paul",2004,1,"132.0000000000000000","83.8400000000000000","126.0000000000000000"
"St_paul",2004,2,"24.0000000000000000","88.1700000000000000","103.0000000000000000"
"St_paul",2004,3,"15.0000000000000000","66.1000000000000000","83.0000000000000000"
"St_paul",2004,4,"24.0000000000000000","11.4000000000000000","43.0000000000000000"
"St_paul",2004,5,"5.0000000000000000","0.16000000000000000000","2.0000000000000000"
"St_paul",2004,6,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2004,7,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2004,8,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2004,9,"0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"St_paul",2004,10,"24.0000000000000000","1.13000000000000000000","12.0000000000000000"
"St_paul",2004,12,"46.0000000000000000","22.9400000000000000","32.0000000000000000"
"St_paul",2005,1,"18.0000000000000000","27.8700000000000000","40.0000000000000000"
"St_paul",2005,2,"9.0000000000000000","27.1100000000000000","29.0000000000000000"
"St_paul",2005,3,"18.0000000000000000","15.9700000000000000","36.0000000000000000"
